,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC
Date,,,,,,,,,,,,,,,,,,
2018-04-04,24264.30078125,2644.68994140625,7042.10986328125,24264.30078125,2644.68994140625,7042.10986328125,24308.9609375,2649.860107421875,7059.2900390625,23523.16015625,2573.610107421875,6811.77001953125,23654.150390625,2584.0400390625,6811.77001953125,388540000,3369230000,2261580000
2018-04-05,24505.220703125,2662.840087890625,7076.5498046875,24505.220703125,2662.840087890625,7076.5498046875,24622.259765625,2672.080078125,7112.3798828125,24313.91015625,2649.580078125,7036.6201171875,24313.91015625,2657.360107421875,7099.25,347790000,3230430000,2153030000
2018-04-06,23932.759765625,2604.469970703125,6915.10986328125,23932.759765625,2604.469970703125,6915.10986328125,24434.400390625,2656.8798828125,7066.64013671875,23738.19921875,2586.27001953125,6877.759765625,24373.599609375,2645.820068359375,6999.56982421875,395990000,3312390000,2359780000
2018-04-09,23979.099609375,2613.159912109375,6950.33984375,23979.099609375,2613.159912109375,6950.33984375,24373.1796875,2653.550048828125,7074.9501953125,23954.830078125,2610.7900390625,6944.9599609375,24037.51953125,2617.179931640625,6971.4501953125,380790000,3076140000,2089220000
2018-04-10,24408.0,2656.8701171875,7094.2998046875,24408.0,2656.8701171875,7094.2998046875,24511.349609375,2665.449951171875,7117.97998046875,24198.94921875,2635.780029296875,7014.8798828125,24198.94921875,2638.409912109375,7060.990234375,368590000,3579130000,2252020000
2018-04-11,24189.44921875,2642.18994140625,7069.02978515625,24189.44921875,2642.18994140625,7069.02978515625,24366.5703125,2661.429931640625,7128.5400390625,24150.869140625,2639.25,7055.0,24274.189453125,2643.889892578125,7055.0,286360000,3054520000,1882090000
2018-04-12,24483.05078125,2663.989990234375,7140.25,24483.05078125,2663.989990234375,7140.25,24592.119140625,2674.719970703125,7166.0,24302.8203125,2653.830078125,7105.08984375,24302.8203125,2653.830078125,7112.02001953125,336130000,3045330000,2027080000
2018-04-13,24360.140625,2656.300048828125,7106.64990234375,24360.140625,2656.300048828125,7106.64990234375,24646.44921875,2680.260009765625,7183.6201171875,24243.740234375,2645.050048828125,7078.14013671875,24582.8203125,2676.89990234375,7179.6201171875,331890000,2988540000,1768160000
2018-04-16,24573.0390625,2677.840087890625,7156.27978515625,24573.0390625,2677.840087890625,7156.27978515625,24675.359375,2686.489990234375,7178.509765625,24480.19921875,2665.159912109375,7115.85009765625,24483.150390625,2670.10009765625,7153.8701171875,305070000,3020740000,1800450000
2018-04-17,24786.630859375,2706.389892578125,7281.10009765625,24786.630859375,2706.389892578125,7281.10009765625,24858.970703125,2713.340087890625,7298.58984375,24681.7890625,2692.050048828125,7206.5498046875,24681.7890625,2692.739990234375,7215.1201171875,342410000,3286190000,1935380000
2018-04-18,24748.0703125,2708.639892578125,7295.240234375,24748.0703125,2708.639892578125,7295.240234375,24832.5390625,2717.489990234375,7319.580078125,24721.08984375,2703.6298828125,7259.89990234375,24820.849609375,2710.110107421875,7292.3798828125,302030000,3412030000,1908700000
2018-04-19,24664.890625,2693.1298828125,7238.06005859375,24664.890625,2693.1298828125,7238.06005859375,24762.48046875,2702.840087890625,7277.4501953125,24557.029296875,2681.89990234375,7215.169921875,24711.30078125,2701.159912109375,7258.60986328125,381110000,3375120000,1982090000
2018-04-20,24462.939453125,2670.139892578125,7146.1298828125,24462.939453125,2670.139892578125,7146.1298828125,24678.0703125,2693.93994140625,7222.990234375,24375.0390625,2660.610107421875,7123.490234375,24657.390625,2692.56005859375,7220.64013671875,537770000,3428260000,1935160000
2018-04-23,24448.689453125,2670.2900390625,7128.60009765625,24448.689453125,2670.2900390625,7128.60009765625,24536.890625,2682.860107421875,7195.72021484375,24328.5390625,2657.989990234375,7094.43017578125,24488.0703125,2675.39990234375,7173.990234375,351030000,3030390000,1744480000
2018-04-24,24024.130859375,2634.56005859375,7007.35009765625,24024.130859375,2634.56005859375,7007.35009765625,24579.939453125,2683.550048828125,7171.669921875,23828.73046875,2617.320068359375,6961.52001953125,24579.939453125,2680.800048828125,7160.77001953125,468180000,3716020000,2154270000
2018-04-25,24083.830078125,2639.39990234375,7003.740234375,24083.830078125,2639.39990234375,7003.740234375,24146.33984375,2645.300048828125,7030.740234375,23823.080078125,2612.669921875,6926.97021484375,24070.19921875,2634.919921875,7009.990234375,437100000,3563680000,2055840000
2018-04-26,24322.33984375,2666.93994140625,7118.68017578125,24322.33984375,2666.93994140625,7118.68017578125,24402.4609375,2676.47998046875,7143.93994140625,24128.720703125,2647.159912109375,7055.66015625,24128.720703125,2651.64990234375,7080.490234375,390360000,3690920000,2141220000
